x, y, z
-4147905.7780862637, 2866505.3374727285, -3893916.408906183
-4147906.123016505, 2866505.575844676, -3893915.2999801007
-4147904.727939597, 2866505.7033927077, -3893917.33387301
-4147906.3799915756, 2866504.661785126, -3893915.0603097444
-4147905.4592669555, 2866505.1171453395, -3893917.542509702
-4147906.2886558357, 2866504.598665494, -3893916.408906183
-4147907.362996148, 2866505.341112703, -3893913.116559852
-4147907.3136510695, 2866508.5841989773, -3893910.210826146
-4147907.8644363442, 2866507.8709414834, -3893910.247842274
-4147907.8287046766, 2866506.7545995726, -3893911.1664533047
-4147906.098204649, 2866509.927534097, -3893908.5922738435
-4147906.810147374, 2866509.3278899286, -3893908.782589044
-4147904.988457969, 2866510.2545076734, -3893909.46190388
-4147904.1038066787, 2866511.8264463875, -3893909.5908994772
-4147904.4521718766, 2866510.975543344, -3893909.437600361
-4147905.2032267023, 2866510.402928811, -3893908.2299645524
-4147906.0542231947, 2866509.8971396587, -3893907.112845733
-4147907.383338605, 2866509.7240073164, -3893907.886445063
-4147907.346433185, 2866508.6068538264, -3893908.8068925566
-4147908.4793963674, 2866507.2042749766, -3893908.9115846115
-4147908.375006369, 2866507.1321338755, -3893910.247842274
-4147908.268062265, 2866505.9665791444, -3893911.0991512383
-4147908.8725206815, 2866506.3843038254, -3893910.2355035646
-4147907.920110819, 2866504.632229638, -3893913.1595584136
-4147908.2191482424, 2866504.8388861446, -3893912.0072597866
-4147908.7080724803, 2866505.176768185, -3893911.0314752716
-4147909.2688809396, 2866506.65821756, -3893909.175184251
-4147909.3449720996, 2866505.616911926, -3893910.1984874364
-4147909.842072511, 2866507.0543345795, -3893908.27904018
-4147909.052587829, 2866507.6003920706, -3893908.0154406014
-4147908.476739828, 2866508.294087998, -3893907.9537470834
-4147907.1759767253, 2866509.580704974, -3893906.2555542695
-4147907.7775404844, 2866508.9047806314, -3893906.3415512755
-4147906.6262395387, 2866510.2924452634, -3893906.2185381674
-4147905.523218733, 2866510.624067058, -3893907.0945246276
-4147907.7934897286, 2866510.007451973, -3893905.4042450674
-4147908.2130666915, 2866509.205761227, -3893905.318248081
-4147908.4644203694, 2866508.2855743505, -3893906.507188987
-4147909.65704573, 2866508.0181165542, -3893907.151792631
-4147910.496906584, 2866506.4129820415, -3893908.4143920206
-4147910.2973803696, 2866507.368985389, -3893907.2744318396
-4147910.3690066994, 2866505.2329453873, -3893909.2488425896
-4147909.192530865, 2866504.419915732, -3893911.006797847
-4147908.8274367508, 2866504.1676093666, -3893912.099613199
-4147909.493881821, 2866503.536522904, -3893912.2469299776
-4147910.798742688, 2866503.3466273816, -3893910.124829081
-4147910.840805122, 2866504.4673436973, -3893909.2122003706
-4147910.9552540085, 2866505.6380845606, -3893908.3650372056
-4147911.2320099426, 2866504.737694341, -3893908.1440622397
-4147910.8220542893, 2866506.6376826423, -3893907.2867705403
-4147910.830230331, 2866507.7372234245, -3893906.3431078163
